Headline,Body ID,Stance
‘Photo of slain IS leader’ reported to be doctored,1522,discuss
Report: A Radically Redesigned 12-Inch MacBook Air Is Coming,2177,unrelated
iOS 8 bug could delete your iCloud Drive documents,221,unrelated
"Boko Haram Could Release Kidnapped Girls, Nigerian Officials Say",1885,discuss
"ISIS Video Shows Execution of David Cawthorne Haines, British Aid Worker",1011,unrelated
Nicaragua says meteorite probable cause of blast in capital,1917,unrelated
ISIS pays tribute to its 'Cub of Baghdadi' child soldier,1261,unrelated
Video Purports To Show Beheading Of U.S. Journalist By Militants,1385,unrelated
Soldier shot near Canadian parliament building,984,unrelated
Research Medical Center denies reports that a patient has Ebola,2127,agree
Shots Heard In Alleged Brown Shooting Recording [AUDIO],195,unrelated
Was The Batmobile Stolen In Detroit?,2519,discuss
"Hundreds of dog-lovers from around the world offer home to pet abandoned at the railway station with a suitcase containing his pillow, toy, bowl and favourite food",424,unrelated
DNA test confirms child is IS head Abu Bakr al-Baghdadi's daughter,1143,discuss
"Nigeria claims deal with Boko Haram on ceasefire, kidnapped girls",40,unrelated
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,1569,unrelated
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,2250,discuss
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,1916,discuss
Teacher sex tape exposed as a FAKE after internet detectives trace the origin of pornographic clip,1496,agree
Islamic State using 'SCORPION bombs' to terrorise victims,2070,unrelated
Iraq Denies Lebanon Captured Abu Bakr al-Baghdadi's Wife and Child,1943,unrelated
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,800,unrelated
Luke Somers: British-born photojournalist 'killed by al-Qaeda after failed rescue attempt in Yemen',1119,discuss
"Accused Boston Marathon Bomber Severely Injured In Prison, May Never Walk Or Talk Again",385,unrelated
Isis claims to behead US journalist,826,unrelated
Is There an ISIS Threat on the Texas-Mexico Border or Not?,2093,discuss
"Apple Watch pricing: Will you spend $5000 for Gold edition, $500 for stainless steel?",444,unrelated
"Nigeria claims deal with Boko Haram on ceasefire, kidnapped girls",1906,unrelated
'Hairgate': iPhone hit by new social media storm,403,unrelated
"Boko Haram denies truce, says kidnapped girls married",2520,unrelated
New policy could reduce marijuana possession arrests,296,unrelated
"Hundreds of dog-lovers from around the world offer home to pet abandoned at the railway station with a suitcase containing his pillow, toy, bowl and favourite food",391,unrelated
Luke Somers' sister says he was killed in failed Yemen rescue attempt,1256,unrelated
ISIS Beheading of U.S. Journalist James Foley Posted to YouTube,1358,unrelated
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,2329,unrelated
CNN Posts Alleged Audio of Michael Brown Shooting,2287,discuss
The Man Who Says Comcast Got Him Fired Has Filed a Lawsuit,2149,unrelated
'I aborted my baby because it was a boy': Outrage after 'feminist' blogger claims gender prompted termination,447,discuss
"Dead for 48 minutes, this Catholic Priest claims God is female",2515,agree
Missing Libyan aircraft spark fears of 9/11-style attack in North Africa,1157,unrelated
IS militant 'Jihadi John' named as Mohammed Emwazi from London,527,unrelated
‘Star Wars: The Force Awakens’ May Get An Early Release Date—Report,831,unrelated
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,2272,disagree
ISIS Seemingly Beheaded American Journalist James Wright Foley,2304,unrelated
Confusion Surrounds Capture Of “ISIS Leader’s Wife”,1383,unrelated
Macaulay Culkin Victim of Another Online Death Hoax,1752,agree
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,2130,unrelated
British hostage David Haines beheaded by Islamic State terrorists,2034,unrelated
Angry mob cut off rapist’s penis with meat cleaver (VIEWER DISCRETION),1959,agree
"Video showing American journalist beheaded believed real, officials and family say",1721,discuss
ISIS Video: America’s Air Dropped Weapons Now in Our Hands,666,unrelated
BREAKING: ISIS Beheads American Journalist James Wright Foley,2127,unrelated
Judd Nelson isn't dead; report is a hoax,2281,unrelated
ISIL video claims beheading of kidnapped journalist James Foley,2067,discuss
Sushi lover's entire body left riddled with WORMS after eating contaminated sashimi,156,agree
"US, UK eye rapper as British-born militant who beheaded journalist James Foley",626,unrelated
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,1034,unrelated
Small Meteorite Hits Managua,1744,unrelated
Citi sees Apple Watch price points of $550 and $950; myriad accessories,1415,discuss
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,511,unrelated
"Islamic Tribunal Using Sharia Law In Texas Has Been Confirmed Tribunal members say they will avoid Sharia's ""criminal law.""",1273,unrelated
Amazon is about to open its first-ever physical store in New York City,195,unrelated
Macaulay Culkin Dead: Internet Death Hoax Claims Actor Found Dead In Apartment,730,unrelated
Iraqi media says ISIS militants have contracted Ebola,93,unrelated
ISIS Militants Allegedly Contracted Ebola,720,unrelated
Is this proof of bigfoot? New 'yeti' video shows giant hairy beast walking through forest,2256,discuss
BREAKING: ISIS Beheads American Journalist James Wright Foley,1589,agree
Google Grows With $1.6 Billion in California Office Deals,1948,unrelated
Insurgents killed in Nigeria despite alleged truce with Boko Haram,2314,unrelated
Gateway Pundit,1314,discuss
Indian civil servant sacked 'after 24-year sickie',2299,unrelated
Schoolboy who got electric shock from lamppost claims he now has magnetic powers,1949,unrelated
Macaulay Culkin dead: Actor is victim of another death hoax,2523,unrelated
Lebanon confirms holding ISIS chief’s kin,1913,unrelated
Missing American journalist reportedly beheaded by Islamic State ,1351,unrelated
Report: Christian Bale Drops Out Of Steve Jobs Biopic,574,unrelated
Batman Set To Play Steve Jobs In Upcoming Biopic,286,unrelated
Islamic State fighters detonate 'SCORPION bombs' in terror siege,1127,agree
"Boko Haram agrees to ceasefire, release of school girls",1374,unrelated
[Updated] Saudi State Television Allegedly Blurs Michelle Obama’s Face During Meeting With New Saudi King,1498,unrelated
"Macaulay Culkin NOT Dead: Facebook, Twitter Death Hoax Goes Viral",639,unrelated
Macaulay Culkin Dead?,1559,discuss
"IS Beheads Briton David Cawthorne Haines, Threatens to Execute Another Briton, Alan Henning",686,unrelated
Iraqi Official Dismisses ‘Unfounded’ Reports That ISIS Fighters Have Ebola,1461,unrelated
"Islamic State leader's family detained by Lebanon, officials say",1004,discuss
ISIS Reportedly Beheads American Photojournalist in Iraq,1011,discuss
There was never a panel discussion on domestic violence planned for ESPN’s ‘Monday Night Football’ pregame show,825,unrelated
ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,1574,unrelated
Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,186,unrelated
ISIS Claims to Have Intercepted Supplies From U.S. Airdrop,1572,unrelated
iOS 8 bug could delete your iCloud Drive documents,2423,agree
